ID_Transaccion,Fecha,ID_Cuenta,ID_Tarjeta,ID_Sucursal,Monto,SaldoActual
TR000189,2025-01-05,CU00594,T000217,S013,1411,1896
TR000190,2024-07-24,CU00886,T001270,S006,701,3159
TR000191,2025-01-03,CU00852,T000448,S014,911,2277
TR000192,2024-10-10,CU01216,T000319,S015,699,2150
TR000193,2025-03-31,CU00325,T000994,S014,438,2089
TR000194,2024-09-03,CU00979,T000037,S004,1724,7618
TR000195,2025-01-02,CU00956,T000731,S018,1660,8846
TR000196,2025-03-26,CU01491,T001011,S001,37,5909
TR000197,2025-02-10,CU00894,T001058,S012,1685,5713
TR000198,2024-07-14,CU01391,T000039,S009,106,8557
TR000199,2024-08-01,CU01342,T000209,S010,615,9214
TR000200,2024-08-11,CU00144,T000830,S018,1943,8825
TR000201,2025-04-08,CU00384,T000856,S017,1913,6076
TR000202,2024-08-07,CU00216,T001176,S019,232,1793
TR000203,2025-03-16,CU01385,T000899,S004,867,2151
TR000204,2024-11-04,CU00324,T001223,S016,1170,3020
TR000205,2024-10-16,CU01039,T000601,S007,1041,4945
TR000206,2024-09-01,CU00217,T000760,S009,1183,4267
TR000207,2024-08-12,CU00951,T001103,S008,960,6331
TR000208,2025-05-15,CU00183,T000434,S007,1840,4723
TR000209,2025-03-13,CU00270,T000842,S010,1306,9177
TR000210,2025-05-21,CU00945,T000032,S008,278,6846
TR000211,2024-10-20,CU01491,T001111,S017,125,6239
TR000212,2025-04-26,CU00870,T000393,S012,1709,1558
TR000213,2024-07-25,CU00467,T001268,S014,1444,3895
TR000214,2024-11-11,CU00305,T001256,S012,1344,3510
TR000215,2025-05-14,CU01168,T000910,S002,675,4124
TR000216,2025-02-04,CU00111,T000192,S012,715,6369
TR000217,2024-10-29,CU01014,T000270,S014,1506,662
TR000218,2025-02-21,CU00232,T000738,S007,1874,6192
TR000219,2024-08-10,CU00595,T000077,S013,667,7092
TR000220,2025-01-03,CU01297,T000735,S004,1348,7108
TR000221,2025-01-17,CU00173,T000884,S001,913,7896
TR000222,2024-08-22,CU00973,T001191,S017,1990,5759
TR000223,2024-08-12,CU01031,T000284,S003,395,6184
TR000224,2025-01-30,CU01179,T001113,S017,773,3071
TR000225,2024-11-14,CU00546,T000544,S008,186,444
TR000226,2025-01-02,CU00548,T000649,S003,1913,6711
TR000227,2025-01-09,CU00518,T001180,S010,466,7224
TR000228,2024-10-28,CU00914,T000250,S002,1081,6384
TR000229,2024-07-20,CU00215,T000095,S004,1753,2816
TR000230,2025-04-22,CU00134,T000017,S014,458,9964
TR000231,2024-09-08,CU00285,T000117,S011,1001,5760
TR000232,2024-11-14,CU01150,T000983,S014,1232,7332
TR000233,2025-04-28,CU01463,T000333,S013,1738,4993
TR000234,2024-09-26,CU00686,T001104,S004,74,1219
TR000235,2024-12-28,CU01176,T000646,S002,1508,2362
TR000236,2025-04-04,CU00331,T001227,S002,1109,842
TR000237,2024-07-31,CU01407,T000116,S011,632,5101
TR000238,2024-11-28,CU01139,T000963,S005,1038,5403
TR000239,2025-01-26,CU00894,T001244,S009,840,7430
TR000240,2024-10-03,CU01308,T001277,S020,1665,882
TR000241,2024-10-27,CU00899,T001193,S017,912,196
TR000242,2024-07-22,CU01099,T000847,S012,794,8878
TR000243,2024-09-19,CU01190,T000316,S018,49,6761
TR000244,2024-07-06,CU01213,T000810,S003,1450,5011
TR000245,2025-04-10,CU00078,T000372,S005,966,2338
TR000246,2025-01-21,CU00947,T000760,S020,359,9208
TR000247,2024-07-01,CU00688,T000877,S014,242,3449
TR000248,2024-09-17,CU00021,T000977,S016,1858,2588
TR000249,2025-04-09,CU00566,T000156,S019,1077,3893
TR000250,2024-10-07,CU01208,T000614,S009,1801,7917
TR000251,2025-02-18,CU01246,T001037,S017,1093,2937
TR000252,2024-12-07,CU00827,T000508,S007,1576,2486
TR000253,2024-06-29,CU01352,T000465,S010,1720,7496
TR000254,2024-08-27,CU00179,T000783,S004,1669,1941
TR000255,2025-01-17,CU01136,T000804,S010,56,9494
TR000256,2025-05-29,CU01083,T000220,S003,879,5466
TR000257,2024-11-15,CU01351,T000015,S009,1480,8164
TR000258,2025-04-12,CU00905,T000117,S013,255,4869
TR000259,2024-11-25,CU00669,T000331,S001,5,9021
TR000260,2025-03-15,CU00191,T000056,S015,1605,416
TR000261,2024-10-11,CU01224,T001156,S015,1076,7553
TR000262,2024-07-09,CU01336,T001250,S011,329,175
TR000263,2025-05-23,CU00708,T000308,S010,98,5169
TR000264,2024-07-31,CU01059,T000222,S007,1185,303
TR000265,2025-03-26,CU00379,T001197,S001,1430,7995
TR000266,2025-01-06,CU00387,T000797,S007,981,6667
TR000267,2024-07-16,CU00237,T001181,S005,1003,7560
TR000268,2024-07-16,CU00616,T000151,S016,783,3875
TR000269,2024-07-24,CU00283,T001202,S008,577,8178
TR000270,2024-11-13,CU00001,T000112,S002,327,7024
TR000271,2025-05-17,CU00464,T000683,S008,1943,7680
TR000272,2024-07-29,CU01254,T001162,S014,243,5658
TR000273,2024-08-12,CU00967,T001257,S004,1528,4455
TR000274,2024-08-30,CU00172,T000332,S015,367,3151
TR000275,2025-02-10,CU01111,T000893,S007,774,2763
TR000276,2025-05-04,CU01147,T000161,S020,724,8723
TR000277,2025-04-07,CU00843,T000278,S008,1466,7484
TR000278,2025-03-23,CU01322,T000897,S011,1178,3262
TR000279,2025-06-18,CU00690,T000497,S002,234,8489
TR000280,2024-08-17,CU00575,T000655,S009,652,5178
TR000281,2024-11-22,CU00165,T001060,S006,333,138
TR000282,2025-02-27,CU00383,T000303,S001,495,9020
TR000283,2025-02-15,CU00209,T000438,S003,1139,3265
TR000284,2025-06-07,CU01456,T000726,S010,369,4879
TR000285,2025-04-05,CU01413,T001056,S005,1357,6286
TR000286,2025-02-16,CU00224,T000186,S012,1154,2224
TR000287,2024-07-14,CU00003,T001198,S001,1952,7499
TR000288,2025-03-22,CU00372,T000673,S009,1202,4234
TR000289,2024-10-23,CU01470,T001274,S013,95,6394
TR000290,2025-06-08,CU00611,T001001,S019,1341,3871
TR000291,2025-01-21,CU00116,T000279,S007,907,5638
TR000292,2024-08-25,CU01294,T000683,S016,1125,3357
TR000293,2024-12-18,CU00447,T001026,S008,1220,6561
TR000294,2025-04-11,CU01392,T001218,S019,802,5488
TR000295,2025-06-27,CU01277,T001190,S007,208,8000
TR000296,2025-05-18,CU01341,T001011,S004,607,1344
TR000297,2025-05-05,CU00415,T000925,S010,473,757
TR000298,2025-01-21,CU01119,T001134,S001,1639,1799
TR000299,2024-12-16,CU00892,T000380,S017,1032,4556
TR000300,2024-11-01,CU01048,T000835,S013,136,6168
TR000301,2025-05-10,CU00663,T000999,S019,610,8147
TR000302,2025-06-20,CU01074,T000285,S013,911,6063
TR000303,2025-04-13,CU00718,T000421,S009,261,6335
TR000304,2024-08-08,CU01359,T000113,S005,1171,4635
TR000305,2024-08-06,CU01103,T001018,S001,458,7373
TR000306,2025-05-17,CU01051,T000228,S002,1929,2076
TR000307,2025-02-09,CU00271,T000528,S011,1721,8037
TR000308,2024-11-17,CU00562,T000496,S004,1462,3769
TR000309,2024-07-03,CU00804,T000031,S009,1437,4292
TR000310,2024-07-06,CU00247,T000162,S005,1524,1037
TR000311,2025-01-05,CU00387,T000705,S005,232,5696
TR000312,2024-11-18,CU00702,T000722,S008,101,1389
TR000313,2024-12-22,CU00559,T000446,S002,147,4770
TR000314,2024-12-21,CU00973,T000744,S007,717,2250
TR000315,2025-06-21,CU01385,T000427,S017,507,7521
TR000316,2025-04-20,CU00984,T000504,S011,558,8804
TR000317,2025-02-09,CU00352,T000721,S015,104,1616
TR000318,2025-05-16,CU01280,T000684,S003,336,1504
TR000319,2025-05-05,CU01246,T000582,S013,446,4592
TR000320,2024-11-27,CU00753,T001058,S018,734,6270
TR000321,2025-04-04,CU00781,T000736,S020,444,2453
TR000322,2025-02-13,CU01025,T000691,S020,118,680
TR000323,2024-10-03,CU00546,T000758,S003,1541,3429
TR000324,2024-07-16,CU01470,T000754,S002,929,8393
TR000325,2025-04-26,CU00079,T000024,S005,723,4650
TR000326,2025-06-23,CU01260,T001240,S020,567,3063
TR000327,2024-11-10,CU00334,T000055,S005,1555,398
TR000328,2025-05-10,CU00889,T001050,S013,1937,4216
TR000329,2025-05-13,CU01373,T000804,S008,88,144
TR000330,2024-09-23,CU01122,T000327,S016,1783,7747
TR000331,2025-03-03,CU01106,T000970,S018,1653,2643
TR000332,2025-06-05,CU00502,T000186,S016,476,3959
TR000333,2025-06-18,CU00765,T000495,S001,1706,4878
TR000334,2025-02-13,CU00921,T001036,S008,1509,4494
TR000335,2024-10-11,CU00550,T000434,S002,1686,3652
TR000336,2025-06-07,CU00014,T000208,S005,295,3255
TR000337,2025-06-22,CU00392,T000133,S015,720,387
TR000338,2025-02-11,CU01371,T001220,S014,1405,3805
TR000339,2025-06-12,CU00310,T001286,S003,995,616
TR000340,2025-06-02,CU00386,T000369,S007,1307,2301
TR000341,2025-05-17,CU01233,T001127,S004,844,6677
TR000342,2025-01-05,CU01381,T001207,S011,686,8202
TR000343,2024-09-07,CU00974,T000423,S012,639,3758
TR000344,2025-05-05,CU01118,T001033,S015,1180,7022
TR000345,2025-04-18,CU01117,T000244,S006,1204,4386
TR000346,2024-09-26,CU00340,T000782,S001,961,4036
TR000347,2024-10-03,CU00597,T000624,S018,935,9461
TR000348,2025-03-06,CU01469,T000567,S014,890,1090
TR000349,2025-03-04,CU00757,T000527,S007,914,5071
TR000350,2025-04-11,CU01046,T000037,S010,1111,7821
TR000351,2025-05-23,CU00291,T000178,S009,406,1951
TR000352,2024-08-18,CU00306,T000639,S002,1860,8289
TR000353,2025-06-08,CU00634,T000852,S008,1520,2809
TR000354,2025-03-20,CU01152,T000072,S001,1291,4107
TR000355,2025-02-16,CU00625,T000352,S020,1618,2721
TR000356,2024-10-08,CU00939,T000623,S002,1088,2278
TR000357,2025-02-25,CU01297,T001173,S007,119,938
TR000358,2025-03-15,CU00848,T000105,S016,1991,9847
TR000359,2024-08-01,CU00442,T000221,S004,341,9514
TR000360,2025-05-10,CU00503,T000863,S017,313,5034
TR000361,2024-10-15,CU00130,T000518,S004,163,9725
TR000362,2024-07-19,CU01156,T001284,S003,1529,8204
TR000363,2025-06-08,CU00597,T000299,S009,293,7438
TR000364,2025-02-22,CU00862,T000861,S015,690,1268
TR000365,2025-03-08,CU01414,T000042,S020,1401,7448
TR000366,2024-07-13,CU00593,T000771,S003,1566,1047
TR000367,2025-01-02,CU00999,T000897,S012,1425,260
TR000368,2025-04-04,CU00325,T000492,S015,673,2727
TR000369,2025-03-16,CU01093,T001071,S020,1424,2635
TR000370,2025-04-03,CU00448,T000085,S008,399,2372
TR000371,2025-04-24,CU00819,T001082,S012,909,3563
TR000372,2025-01-10,CU01189,T000991,S013,487,4904
TR000373,2025-05-16,CU00709,T000711,S015,1539,260
TR000374,2025-05-04,CU01450,T000209,S011,1048,1884
TR000375,2025-01-04,CU00265,T001272,S017,1943,6698
TR000376,2024-07-09,CU00612,T001235,S012,1083,3282
TR000377,2025-02-13,CU01366,T000039,S020,749,3724
TR000378,2024-09-09,CU00832,T001276,S018,240,9058
TR000379,2025-03-19,CU01302,T000926,S016,311,2127
TR000380,2025-01-11,CU00674,T000762,S003,321,8476
TR000381,2024-07-27,CU01463,T000946,S009,672,1996
TR000382,2025-03-30,CU00157,T000052,S007,1505,2504
TR000383,2024-08-20,CU01446,T000374,S019,572,2639
TR000384,2025-04-18,CU00251,T000931,S005,1776,832
TR000385,2025-01-25,CU00878,T000156,S019,414,9913
TR000386,2024-11-01,CU00530,T001114,S010,1346,677
TR000387,2024-07-24,CU00327,T000679,S020,402,2261
TR000388,2025-03-09,CU00961,T000351,S012,59,8669
TR000389,2024-08-12,CU00895,T000069,S008,53,3948
TR000390,2025-04-15,CU00097,T001187,S003,1088,1408
TR000391,2024-09-19,CU00513,T001266,S019,633,941
TR000392,2025-06-12,CU00216,T001076,S011,1143,2271
TR000393,2024-10-29,CU01156,T000654,S008,286,8447
TR000394,2025-06-08,CU01284,T000063,S013,18,6353
TR000395,2024-11-08,CU00125,T000509,S010,1029,9994
TR000396,2024-11-18,CU01106,T000292,S018,1861,3485
TR000397,2024-12-19,CU01307,T001115,S012,1416,4921
TR000398,2024-11-06,CU00059,T000821,S007,1929,5913
TR000399,2025-01-27,CU00161,T000150,S011,160,1513
TR000400,2024-07-18,CU00284,T001295,S010,1912,144
TR000401,2024-09-08,CU00106,T000881,S003,142,1786
TR000402,2024-12-24,CU01129,T001140,S007,397,5336
TR000403,2025-02-20,CU01463,T000704,S004,1042,6725
TR000404,2024-12-16,CU00228,T000516,S008,580,2825
TR000405,2025-02-06,CU00318,T001265,S008,1138,9715
TR000406,2024-10-18,CU01488,T000030,S006,534,8109
TR000407,2025-01-21,CU00802,T001167,S013,1556,4114
TR000408,2024-08-31,CU00874,T000326,S012,911,5880
TR000409,2024-11-11,CU00472,T000949,S003,1799,4695
TR000410,2025-04-09,CU01080,T000016,S006,461,8365
TR000411,2024-08-10,CU00625,T000111,S019,1634,3118
TR000412,2025-06-08,CU00013,T000872,S011,1641,6392
TR000413,2024-08-01,CU01464,T000713,S004,286,1660
TR000414,2024-11-10,CU01042,T000107,S015,1029,9183
TR000415,2024-08-17,CU00694,T000379,S002,129,9538
TR000416,2025-03-12,CU00973,T000162,S015,956,572
TR000417,2025-04-20,CU00113,T000283,S017,671,5535
TR000418,2025-01-17,CU00229,T000269,S002,1787,2317
TR000419,2025-06-22,CU00171,T000484,S007,499,8992
TR000420,2024-12-20,CU00295,T000667,S016,276,152
TR000421,2025-06-09,CU00189,T001097,S005,1107,3087
TR000422,2025-05-22,CU00426,T001221,S016,1856,8430
TR000423,2024-08-23,CU00977,T001267,S019,1142,9689
TR000424,2024-12-27,CU01103,T000598,S002,1984,2237
TR000425,2025-01-24,CU00658,T000799,S015,29,927
TR000426,2024-10-28,CU00919,T001283,S004,1005,8264
TR000427,2024-11-08,CU01206,T000798,S002,1382,1348
TR000428,2024-08-15,CU00499,T001173,S010,650,4935
TR000429,2024-08-15,CU00762,T000390,S005,1181,8477
TR000430,2024-10-18,CU00866,T000416,S018,31,3542
TR000431,2025-04-30,CU00826,T000426,S004,843,7502
TR000432,2025-03-14,CU00071,T000997,S001,1310,3293
TR000433,2024-12-24,CU00248,T001241,S018,1689,5028
TR000434,2025-06-12,CU00146,T000867,S020,336,9704
TR000435,2025-04-21,CU01320,T000086,S006,570,7696
TR000436,2025-03-17,CU00582,T001240,S020,313,3016
TR000437,2024-12-11,CU00470,T000423,S020,599,9307
TR000438,2024-08-28,CU00193,T000118,S014,1147,4637
TR000439,2024-11-22,CU01092,T000959,S010,1727,7151
TR000440,2024-09-24,CU00494,T000882,S018,865,5745
TR000441,2024-11-03,CU00052,T000992,S009,371,4361
TR000442,2024-10-14,CU00882,T000415,S012,805,2035
TR000443,2025-06-23,CU00363,T000599,S010,314,8141
TR000444,2024-09-11,CU00917,T000040,S019,28,9760
TR000445,2025-02-15,CU00474,T001185,S006,1179,4638
TR000446,2025-03-14,CU00521,T000703,S014,966,4526
TR000447,2025-06-05,CU01455,T000537,S008,1254,1458
TR000448,2024-10-15,CU01322,T000420,S014,1573,1869
TR000449,2025-04-10,CU01459,T000664,S011,1030,9481
TR000450,2025-01-05,CU00691,T000095,S016,473,1292
TR000451,2024-12-23,CU01222,T000973,S020,1997,2916
TR000452,2024-08-27,CU01152,T000650,S006,1342,6367
TR000453,2025-03-05,CU00532,T000288,S015,1249,7125
TR000454,2024-08-08,CU01435,T000412,S015,1057,4956
TR000455,2024-11-20,CU00840,T000400,S014,89,5317
TR000456,2025-03-01,CU01089,T000528,S012,1358,1142
TR000457,2024-12-21,CU00241,T001042,S002,40,5343
TR000458,2024-08-22,CU01393,T000136,S008,681,8517
TR000459,2024-10-17,CU00536,T000759,S019,375,6855
TR000460,2024-07-05,CU01408,T001272,S014,1322,6567
TR000461,2024-08-14,CU01455,T000843,S005,998,4077
TR000462,2025-04-18,CU00083,T000710,S009,393,1983
TR000463,2025-06-27,CU00982,T001025,S013,1042,640
TR000464,2025-01-09,CU00951,T000381,S009,1551,8937
TR000465,2025-02-21,CU00611,T000509,S014,132,5185
TR000466,2025-03-16,CU00574,T000806,S005,290,4901
TR000467,2025-02-20,CU00286,T000476,S002,1854,4826
TR000468,2024-07-14,CU00989,T000954,S007,806,7122
TR000469,2024-07-11,CU00459,T000849,S016,209,1788
TR000470,2025-03-03,CU01236,T000897,S011,327,9146
TR000471,2025-06-15,CU00126,T000032,S011,992,6734
TR000472,2025-02-16,CU01437,T000118,S012,503,504
