ID_Usuario,Canal,Fecha,TiempoSesion
C00290,App,2025-05-27,1786
C00065,Cajero Virtual,2024-12-08,1528
C00774,App,2024-07-19,2054
C00198,App,2025-03-16,584
C00683,Web,2024-10-16,2721
C00528,App,2024-09-16,224
C00703,App,2024-10-25,1902
C00961,App,2025-03-16,2404
C00901,Web,2024-12-23,2986
C00537,Cajero Virtual,2024-12-02,1851
C00250,Web,2024-09-29,1008
C00539,App,2024-10-15,1060
C00682,App,2024-09-10,546
C00117,App,2024-12-21,1922
C00892,Web,2024-07-20,525
C00567,Web,2024-12-28,1738
C00486,App,2024-08-27,1081
C00363,Web,2024-11-22,2022
C00026,Web,2024-10-07,3079
C00784,App,2025-02-26,1467
C00877,Cajero Virtual,2025-06-13,1339
C00620,Web,2025-01-09,2159
C00602,App,2025-02-01,3188
C00493,App,2025-04-01,1331
C00357,App,2024-08-18,771
C00412,App,2024-12-06,1691
C00476,Cajero Virtual,2025-02-07,1742
C00414,App,2024-07-24,310
C00894,App,2024-07-08,94
C00122,Cajero Virtual,2024-07-29,3264
C00461,Cajero Virtual,2025-02-10,2850
C00857,App,2025-04-12,3351
C00429,Web,2024-11-12,2608
C00243,Cajero Virtual,2025-06-26,1079
C00403,App,2024-09-22,17
C00781,Cajero Virtual,2024-11-01,1359
C00252,Web,2024-12-04,3134
C00075,Web,2024-09-24,2685
C00112,App,2025-05-30,2797
C00663,Cajero Virtual,2025-03-21,1597
C00782,App,2025-05-05,1981
C00970,Cajero Virtual,2025-01-21,556
C00610,Cajero Virtual,2025-05-08,1351
C00360,App,2025-04-25,1152
C00767,Web,2025-02-25,3572
C00919,Cajero Virtual,2025-05-05,3060
C00168,App,2024-07-14,259
C00250,App,2025-03-24,2761
C00832,App,2025-05-19,835
C00758,Web,2025-05-23,1648
C00213,App,2025-03-18,3060
C00443,App,2025-03-05,867
C00788,App,2024-09-16,904
C00928,App,2025-05-11,2458
C00846,App,2024-10-06,888
C00792,Cajero Virtual,2024-08-17,143
C00046,Web,2025-04-25,1925
C00018,App,2025-02-07,2445
C00879,App,2025-03-19,1383
C00758,Web,2024-07-13,2787
C00350,Cajero Virtual,2024-10-04,3391
C00220,App,2024-09-10,2696
C00688,Cajero Virtual,2024-07-26,3018
C00398,Cajero Virtual,2024-10-23,2850
C00746,Cajero Virtual,2025-05-27,2760
C00950,Web,2024-10-23,3350
C00661,Web,2024-11-02,1115
C00098,Web,2024-08-27,1722
C00005,Cajero Virtual,2025-02-08,3154
C00896,Web,2024-09-25,19
C00159,Web,2024-12-14,1403
C00963,Cajero Virtual,2025-05-10,645
C00087,Cajero Virtual,2025-04-17,2832
C00743,App,2025-02-01,2417
C00120,Web,2024-10-01,1705
C00443,App,2024-07-27,458
C00172,App,2025-06-24,2067
C00576,App,2025-04-21,1277
C00606,Cajero Virtual,2025-03-25,3436
C00682,App,2025-03-13,1217
C00235,Cajero Virtual,2025-01-05,3350
C00478,App,2025-01-02,1681
C00121,Cajero Virtual,2024-09-09,3107
C00497,App,2025-04-30,679
C00612,App,2025-01-02,3316
C00422,Web,2024-08-18,1609
C00135,Web,2025-03-07,2693
C00315,Cajero Virtual,2025-01-26,1097
C00069,Web,2024-09-27,627
C00198,Cajero Virtual,2025-05-30,1291
C00817,Cajero Virtual,2025-02-06,3406
C00718,Web,2025-03-04,622
C00011,Cajero Virtual,2025-06-02,1192
C00869,Cajero Virtual,2025-06-17,728
C00130,Web,2025-06-17,3412
C00735,Cajero Virtual,2025-06-18,2145
C00110,App,2024-08-26,900
C00027,Web,2024-12-29,1616
C00400,App,2025-06-05,2777
C00320,Web,2025-01-27,698
C00194,App,2024-10-04,1985
C00945,Cajero Virtual,2024-06-30,2931
C00346,Web,2024-07-18,3136
C00016,App,2024-09-29,1603
C00073,Cajero Virtual,2025-02-21,96
C00948,App,2025-04-17,3441
C00628,Web,2025-04-27,3417
C00201,Cajero Virtual,2025-05-03,3051
C00645,App,2024-12-19,2490
C00164,App,2025-02-11,2499
C00007,Web,2024-12-21,1927
C00061,App,2025-06-09,2282
C00352,Cajero Virtual,2024-08-21,1699
C00925,Cajero Virtual,2024-08-01,1181
C00485,Cajero Virtual,2024-10-01,2024
C00632,App,2024-11-18,793
C00451,Cajero Virtual,2024-10-16,2076
C00414,Web,2025-01-07,3544
C00936,Web,2025-02-12,923
C00031,Web,2024-07-07,1482
C00560,Cajero Virtual,2025-05-04,2892
C00091,Cajero Virtual,2024-08-05,3410
C00518,Web,2025-04-25,742
C00446,Web,2025-06-14,904
C00285,App,2025-05-20,2034
C00393,App,2024-10-17,1446
C00950,Web,2025-06-23,375
C00596,Cajero Virtual,2025-03-26,2910
C00882,Web,2024-09-29,1673
C00139,App,2025-01-29,624
C00787,Web,2024-08-09,2347
C00999,App,2025-02-07,1049
C00330,App,2025-05-19,606
C00133,App,2025-05-25,2114
C00615,Web,2024-11-02,2577
C00983,Cajero Virtual,2024-07-24,1645
C00326,Web,2025-03-24,1415
C00607,App,2024-08-19,278
C00530,App,2025-05-14,2058
C00021,Web,2025-06-05,3418
C00911,App,2025-05-26,1165
C00955,Cajero Virtual,2025-03-17,28
C00479,App,2024-12-10,3172
C00458,App,2025-04-15,1211
C00518,App,2024-07-25,2441
C00536,Cajero Virtual,2024-11-05,2768
C00225,App,2024-11-20,849
C00572,Web,2024-12-01,3383
C00796,App,2024-07-20,261
C00732,Cajero Virtual,2024-12-10,3141
C00330,App,2025-02-23,38
C00791,Cajero Virtual,2024-09-27,1090
C00847,App,2024-07-12,1499
C00558,App,2024-10-30,3566
C00368,Web,2025-02-19,467
C00805,App,2025-04-13,2112
C00142,Cajero Virtual,2024-11-09,2795
C00816,Cajero Virtual,2025-01-08,1204
C00590,App,2024-09-14,2726
C00199,Cajero Virtual,2025-02-03,2893
C00627,Web,2024-12-10,2013
C00036,App,2024-11-12,1811
C00466,App,2025-05-15,2147
C00572,Web,2024-09-16,304
C00438,App,2024-09-04,1097
C00757,Web,2025-01-28,947
C00591,App,2024-07-14,1167
C00881,Web,2024-12-19,214
C00191,Web,2024-08-30,2353
C00097,Web,2024-11-02,1438
C00504,Cajero Virtual,2024-09-01,1753
C00367,App,2024-10-16,345
C00816,Web,2025-02-08,744
C00888,Web,2024-07-20,1622
C00150,Cajero Virtual,2024-08-02,2542
C00043,Web,2025-05-13,1705
C00297,App,2024-09-03,1923
C00913,Cajero Virtual,2024-08-02,1149
C00319,Cajero Virtual,2025-02-06,2889
C00218,App,2025-05-09,2456
C00719,Web,2025-03-21,1260
C00488,Web,2025-05-23,3040
C00146,Cajero Virtual,2024-09-28,657
C00328,Cajero Virtual,2024-12-29,617
C00259,App,2025-05-11,2392
C00566,Cajero Virtual,2025-04-02,776
C00119,App,2024-12-09,1670
C00755,App,2024-10-14,3593
C00142,Cajero Virtual,2025-02-10,3599
C00290,Web,2025-05-08,2112
C00639,Web,2025-06-23,2008
C00225,Cajero Virtual,2025-04-24,502
C00894,App,2025-06-22,1660
C00229,Web,2025-04-18,3083
C00753,App,2025-06-11,607
C00257,App,2024-07-15,430
C00245,Cajero Virtual,2025-01-08,3373
C00176,Web,2025-02-20,1005
C00355,App,2024-07-27,1270
C00522,Cajero Virtual,2024-07-22,1613
C00595,App,2024-09-23,94
C00139,Cajero Virtual,2025-04-07,2363
C00119,App,2024-07-10,2201
C00639,App,2024-10-03,1264
C00611,Cajero Virtual,2025-01-05,2188
C00578,Cajero Virtual,2025-06-18,1621
C00259,App,2025-01-24,216
C00655,Cajero Virtual,2025-03-25,2842
C00571,App,2025-01-23,370
C00756,Cajero Virtual,2024-09-10,972
C00873,Cajero Virtual,2025-05-23,3365
C00192,Cajero Virtual,2024-11-23,2289
C00943,Cajero Virtual,2024-08-16,981
C00860,Cajero Virtual,2024-11-18,1559
C00130,Cajero Virtual,2025-03-18,2369
C00158,Web,2025-04-13,2093
C00678,Web,2024-08-19,614
C00261,App,2025-05-24,284
C00390,Web,2025-05-21,1921
C00645,Web,2024-12-18,2035
C00524,Web,2025-02-11,1815
C00132,Cajero Virtual,2024-11-09,1236
C00408,Web,2024-09-28,672
C00153,App,2024-11-25,2135
C00282,Cajero Virtual,2025-06-13,3079
C00567,Cajero Virtual,2024-11-26,1483
C00768,Web,2025-06-06,2231
C00638,App,2025-06-01,1352
C00046,App,2025-04-17,2347
C00686,Cajero Virtual,2025-05-30,2446
C00299,Cajero Virtual,2024-12-26,14
C00956,App,2024-12-30,2148
C00929,App,2024-08-22,756
C00021,Cajero Virtual,2024-08-12,169
C00983,Cajero Virtual,2025-06-06,2280
C00767,Web,2025-05-17,1135
C00997,App,2024-07-16,3419
C00165,App,2025-03-01,3412
C00268,App,2024-08-23,2662
C00101,Web,2024-09-08,729
C00661,Cajero Virtual,2024-07-30,240
C00653,App,2024-10-20,2288
C00373,Web,2024-07-15,2781
C00033,App,2025-03-12,270
C00236,Web,2024-10-09,2588
C00198,Web,2025-05-18,1310
C00507,App,2024-10-24,2383
C00747,Web,2025-04-11,1590
C00332,App,2025-01-16,443
C00445,App,2024-10-30,725
C00486,Web,2024-10-06,908
C00120,Cajero Virtual,2025-01-17,1527
C00158,Web,2024-08-15,2418
C00037,Web,2024-11-19,1144
C00850,App,2024-07-07,75
C00144,App,2025-03-07,2471
C00557,App,2025-06-15,70
C00711,Cajero Virtual,2025-05-28,2883
C00750,Web,2024-06-29,745
C00641,Web,2025-05-04,2319
C00693,Web,2024-08-14,132
C00028,Web,2025-05-31,1122
C00949,Web,2025-01-04,102
C00812,Cajero Virtual,2025-06-24,3500
C00579,App,2024-10-23,1191
C00754,App,2024-07-12,1129
C00875,Cajero Virtual,2024-07-09,1990
C00244,Web,2025-05-04,598
C00679,App,2024-10-05,1573
C00266,Web,2024-10-24,1466
C00051,Web,2025-03-06,672
C00109,Web,2024-08-30,635
C00398,Web,2024-09-23,924
C00335,Cajero Virtual,2024-10-08,2010
C00134,Cajero Virtual,2024-07-07,3338
C00679,App,2024-09-14,2900
C00080,Web,2024-11-01,2468
C00338,Web,2024-09-23,2309
C00611,Cajero Virtual,2025-02-24,3025
C00432,Cajero Virtual,2025-01-31,1458
C00665,Web,2024-08-31,2464
C00481,Web,2025-03-17,1379
C00888,App,2024-08-05,3533
C00289,Cajero Virtual,2024-10-05,2749
C00595,Web,2024-08-30,1409
C00102,Cajero Virtual,2025-05-22,2591
C00331,Web,2025-05-28,1299
C00376,Web,2025-06-06,3031
C00231,Cajero Virtual,2024-08-06,3382
C00451,App,2025-04-14,1920
C00764,Cajero Virtual,2024-11-27,2978
C00870,Cajero Virtual,2025-04-09,3204
C00321,App,2025-05-15,1712
C00424,Cajero Virtual,2025-04-26,2864
C00025,App,2025-06-14,49
C00569,Cajero Virtual,2024-08-21,444
C00416,Cajero Virtual,2025-02-20,2933
C00302,App,2025-05-27,172
C00100,App,2024-07-19,930
C00388,App,2024-07-08,3038
C00119,Web,2025-01-14,1848
C00663,Web,2024-07-12,3402
C00592,App,2024-11-20,6
C00331,Cajero Virtual,2024-07-20,1228
C00662,Web,2025-02-11,2417
C00359,App,2024-07-02,2942
C00126,App,2025-03-14,722
C00289,Web,2025-03-25,931
C00553,Web,2025-03-01,2329
C00702,Cajero Virtual,2025-05-24,1079
C00934,App,2025-01-21,1193
C00440,Web,2024-07-05,3385
C00575,Web,2024-07-27,2966
C00717,Web,2025-03-11,3550
C00341,Cajero Virtual,2024-10-06,2476
C00204,Cajero Virtual,2024-09-04,1536
C00951,Web,2025-06-02,413
C00179,App,2025-02-09,839
C00346,App,2025-06-24,2096
C00833,App,2025-03-21,1027
C00105,Cajero Virtual,2024-11-11,685
C00313,App,2024-12-18,2836
C00086,Web,2024-11-30,2377
C00923,Web,2024-12-22,2281
C00441,App,2025-01-22,1700
C00951,Web,2024-07-28,60
C00480,Web,2024-08-06,590
C00328,App,2025-05-01,2578
C00251,Web,2024-11-26,3169
C00482,Web,2024-07-12,2035
C00850,Cajero Virtual,2025-04-25,1090
C00004,Web,2025-03-07,1055
C00833,App,2025-06-14,982
C00184,Cajero Virtual,2025-03-16,1774
C00693,Cajero Virtual,2024-08-26,777
C00300,Web,2024-10-07,148
C00528,App,2024-11-26,47
C00606,Web,2025-05-06,1268
C00791,Web,2025-01-02,3329
C00927,App,2024-12-25,1502
C00156,Cajero Virtual,2025-04-04,1619
C00434,App,2024-11-13,2404
C00357,Web,2024-12-31,2702
C00528,App,2025-05-17,1665
C00041,Cajero Virtual,2024-10-27,2501
C00649,App,2024-10-25,2570
C00258,Web,2024-09-29,2225
C00366,Cajero Virtual,2024-07-20,3004
C00555,App,2025-06-25,2023
C00066,Cajero Virtual,2025-06-20,210
C00864,Web,2025-05-11,3114
C00208,App,2025-04-09,3196
C00245,Web,2024-10-30,187
C00243,Web,2024-11-09,1049
C00589,Web,2024-08-03,1188
C00945,App,2024-12-13,3054
C00731,App,2025-01-27,35
C00381,App,2025-03-03,2044
C00223,App,2024-11-02,1277
C00865,Cajero Virtual,2024-12-12,475
C00021,Web,2025-05-11,759
C00147,Web,2025-03-13,470
C00368,Web,2025-03-14,2955
C00313,Cajero Virtual,2024-09-21,2570
C00589,App,2025-01-28,264
C00316,App,2024-11-26,1129
C00403,App,2024-11-16,3292
C00867,App,2024-12-02,767
C00448,Web,2024-08-05,407
C00547,Web,2025-06-10,2694
C00126,App,2025-04-28,1230
C00929,Web,2024-07-04,2684
C00835,Cajero Virtual,2025-05-20,1240
C00496,Web,2024-09-08,2112
C00981,Web,2025-05-01,3017
C00744,Cajero Virtual,2024-12-27,2862
C00599,App,2024-07-26,872
C00816,Cajero Virtual,2025-06-03,38
C00700,Web,2025-02-24,760
C00045,App,2025-03-25,665
C00331,App,2024-11-03,2022
C00836,App,2024-12-05,222
C00964,Web,2024-07-17,1366
C00911,Web,2025-06-03,770
C00860,Web,2024-11-20,473
C00996,App,2025-01-14,2405
C00072,App,2024-07-25,3578
C00728,Web,2024-09-03,579
C00098,Web,2025-01-24,235
C00271,Web,2024-08-15,2650
C00407,Web,2024-11-19,2142
C00444,Cajero Virtual,2025-04-07,2909
C00091,Cajero Virtual,2025-06-14,2887
C00654,App,2025-03-21,2237
C00117,Cajero Virtual,2025-01-02,649
C00514,Web,2025-04-22,1709
C00893,Web,2024-09-16,16
C00995,Cajero Virtual,2025-06-20,1399
C00043,Cajero Virtual,2024-11-10,364
C00071,Web,2025-01-08,744
C00144,App,2024-12-06,3470
C00342,Cajero Virtual,2025-06-14,2458
C00758,Cajero Virtual,2025-06-12,2222
C00796,App,2025-05-17,2234
C00928,App,2024-08-26,3102
C00839,Cajero Virtual,2024-10-18,470
C00726,Cajero Virtual,2024-12-24,1404
C00107,Cajero Virtual,2025-04-26,312
C00386,Cajero Virtual,2024-10-11,2848
C00456,App,2025-04-23,3150
C00775,Web,2024-07-20,535
C00294,Cajero Virtual,2025-05-23,2577
C00176,Cajero Virtual,2025-04-30,2170
C00981,Cajero Virtual,2024-08-20,228
C00107,Cajero Virtual,2024-09-24,989
C00086,Cajero Virtual,2025-06-21,1432
C00510,Web,2024-11-08,1199
C00227,App,2025-04-06,1931
C00594,App,2024-08-15,2601
C00329,Web,2024-10-23,15
C00241,App,2025-03-04,214
C00002,Web,2024-10-12,603
C00251,Web,2025-06-02,52
C00042,App,2024-11-21,930
C00426,Cajero Virtual,2025-06-28,3388
C00081,Web,2025-05-09,57
C00488,Web,2024-08-29,1313
C00916,Cajero Virtual,2025-04-09,3221
C00262,Cajero Virtual,2025-06-24,2456
C00395,App,2024-10-01,532
C00709,Web,2025-04-09,3441
C00248,App,2025-02-26,3396
C00330,Cajero Virtual,2025-03-23,1637
C00983,Web,2025-04-29,2405
C00993,Cajero Virtual,2024-11-11,700
C00808,Cajero Virtual,2024-12-15,3502
C00896,App,2025-05-31,1057
C00548,App,2025-03-03,1567
C00615,App,2025-05-17,674
C00947,Cajero Virtual,2025-06-05,2922
C00815,App,2025-01-25,1310
C00098,Web,2024-12-09,517
C00145,Cajero Virtual,2024-09-30,681
C00794,Cajero Virtual,2024-08-24,1709
C00949,App,2025-02-26,727
C00127,Cajero Virtual,2025-03-11,2165
C00304,Web,2025-06-28,2815
C00795,App,2024-11-25,269
C00814,Web,2024-08-02,2044
C00579,App,2025-01-01,1788
C00379,App,2025-03-17,718
C00147,Cajero Virtual,2025-01-09,721
C00840,Cajero Virtual,2024-11-24,3235
C00081,App,2024-08-11,2188
C00765,Web,2025-05-14,144
C00242,Web,2025-02-07,2270
C00577,App,2024-11-17,781
C00583,Web,2024-07-03,892
C00548,Web,2025-04-22,2636
C00067,Cajero Virtual,2024-12-13,630
C00595,App,2025-01-30,1634
C00682,Cajero Virtual,2024-10-16,435
C00475,Web,2024-10-20,1569
C00579,Cajero Virtual,2024-07-01,3526
C00610,Web,2025-04-09,3139
C00837,Web,2025-01-14,3078
C00433,Web,2024-07-22,3313
C00805,Web,2025-06-24,3127
C00762,Web,2025-06-21,2431
C00302,Cajero Virtual,2025-05-16,2482
C00720,Web,2024-12-05,3542
C00824,Cajero Virtual,2024-11-17,3143
C00375,Web,2025-03-05,1630
C00575,App,2025-01-16,1474
C00078,App,2024-12-08,480
C00030,Web,2024-11-04,1167
C00352,Web,2025-03-30,2070
C00763,Web,2024-11-06,561
C00831,App,2025-04-15,3494
C00115,Cajero Virtual,2025-02-20,2696
C00877,Cajero Virtual,2024-12-22,1416
C00332,App,2024-09-08,2660
C00505,Cajero Virtual,2025-03-09,2516
C00731,Web,2024-10-18,3365
C00154,Web,2024-08-13,2760
C00733,Web,2024-11-10,2894
C00535,Cajero Virtual,2024-11-29,2004
C00369,Cajero Virtual,2024-08-10,121
C00726,Cajero Virtual,2025-05-05,2787
C00660,Web,2025-06-27,1462
C00358,Cajero Virtual,2024-08-18,751
C00302,Web,2024-08-18,789
C00720,Cajero Virtual,2024-08-08,1125
C00671,Cajero Virtual,2025-06-20,895
C00451,App,2025-05-19,1007
C00917,App,2025-05-28,187
C00307,App,2024-11-16,1183
C00679,App,2025-03-08,518
C00063,Cajero Virtual,2024-11-14,2730
C00837,App,2024-07-21,1204
C00276,Cajero Virtual,2025-04-07,3503
C00511,Web,2024-12-15,3284
C00887,App,2025-01-03,1948
C00535,Web,2025-06-04,1001
C00736,Cajero Virtual,2025-03-11,640
C00938,Cajero Virtual,2024-08-22,1832
C00713,Cajero Virtual,2024-11-09,730
C00387,App,2025-05-23,653
C00795,Cajero Virtual,2024-12-29,433
C00859,Web,2025-06-06,2692
C00458,Cajero Virtual,2025-02-02,2811
C00848,Cajero Virtual,2025-01-29,2938
C00408,App,2025-01-17,101
C00727,Cajero Virtual,2025-06-22,2368
C00777,Web,2024-09-29,1122
C00386,Web,2025-02-04,848
C00390,App,2024-07-17,2327
C00229,App,2025-01-01,2746
C00227,Web,2024-11-19,1879
C00327,Cajero Virtual,2024-08-31,1167
C00335,Web,2024-11-30,3417
C00277,App,2024-11-28,1885
C00230,App,2025-03-21,2404
C00868,Web,2024-09-23,2943
C00727,App,2024-10-25,1615
C00157,Web,2025-02-11,2917
C00013,Web,2025-05-16,3427
C00503,Web,2024-07-07,430
C00197,Cajero Virtual,2024-06-30,1063
C00623,Cajero Virtual,2024-09-22,3375
C00615,Cajero Virtual,2024-12-18,2473
C00103,Web,2025-05-13,1372
C00170,App,2024-12-20,429
C00109,Web,2025-06-10,1310
C00376,App,2024-07-15,455
C00126,Cajero Virtual,2024-07-15,1348
C00747,Web,2025-05-26,519
C00385,Web,2025-04-16,3425
C00148,Cajero Virtual,2025-05-30,1839
C00683,Web,2025-03-22,1327
C00001,Web,2024-07-23,210
C00995,Web,2025-05-13,591
C00552,Cajero Virtual,2025-04-25,894
C00749,App,2024-10-12,867
C00007,App,2024-11-05,2492
C00163,Web,2025-06-28,3205
C00436,App,2024-07-13,176
C00802,App,2025-01-22,3159
C00434,App,2025-06-26,761
C00325,App,2024-12-20,3530
C00157,Web,2025-05-08,217
C00114,Cajero Virtual,2025-04-09,1430
C00112,Cajero Virtual,2024-12-03,2911
C00987,Cajero Virtual,2025-01-11,1431
C00455,Web,2024-07-04,604
C00769,Web,2024-11-17,1453
C00073,App,2024-08-09,1743
C00954,Cajero Virtual,2024-08-31,3304
C00193,Web,2024-11-26,820
C00475,App,2025-02-11,1735
C00273,Cajero Virtual,2024-08-23,3502
C00958,Web,2024-06-30,1062
C00736,App,2025-03-01,2472
C00873,Cajero Virtual,2025-06-16,3471
C00094,Cajero Virtual,2024-12-23,2929
C00719,Web,2024-08-22,3013
C00682,App,2025-05-05,2956
C00668,Cajero Virtual,2025-04-06,2627
C00756,Web,2025-05-05,185
C00515,App,2024-12-16,3449
C00220,Cajero Virtual,2025-06-15,2323
C00005,Web,2025-01-04,602
C00194,Cajero Virtual,2024-11-13,1310
C00054,App,2024-12-19,1372
C00934,Web,2025-03-07,2767
C00976,Web,2024-08-27,530
C00812,Cajero Virtual,2025-04-23,1013
C00209,App,2024-08-19,2804
C00588,Web,2025-05-28,1855
